section, item,,,
Breast Imaging,Palpable masses,,,
Breast Imaging,Breast thickening,,,
Breast Imaging,Nipple discharge,,,
Breast Imaging,Nipple retraction,,,
Breast Imaging,Skin changes,,,
Breast Imaging,Benign inflammatory,,,
Breast Imaging,Malignant inflammatory,,,
Breast Imaging,Breast implants,,,
Breast Imaging,Breast augmentation,,,
Breast Imaging,Breast reduction,,,
Breast Imaging,Breast reconstruction,,,
Breast Imaging,Breast-conserving therapy,breast conservation,,
Breast Imaging,benign breast lesion,,,
Breast Imaging,high-risk breast lesion,,,
Breast Imaging,ductal carcinoma in situ,,,
Breast Imaging,Invasive ductal carcinoma,,,
Breast Imaging,other breast carcinoma,,,
Breast Imaging,benign male breast disease,,,
Breast Imaging,malignant male breast disease,,,
Breast Imaging,benign breast calcifications,,,
Breast Imaging,malignant breast calcifications,,,
Breast Imaging,benign breast masses,,,
Breast Imaging,malignant breast masses,,,
Breast Imaging,Abnormal calcifications,,,
Breast Imaging,Masses,,,
Breast Imaging,Asymmetries,,,
Breast Imaging,Architectural distortion,,,
Breast Imaging,breast Masses,,,
Breast Imaging,Non-mass,,,
Breast Imaging,Wire localization,,,
Breast Imaging,Core biopsy,,,
Breast Imaging,Vacuum-assisted biopsy,,,
Breast Imaging,Fine-needle aspiration,,,
Breast Imaging,Galactography,,,
Breast Imaging,Cyst aspiration,,,
Breast Imaging,Specimen radiography,,,
Breast Imaging,Concordant,,,
Breast Imaging,Discordant,,,
Breast Imaging,mammography artifact,,,
Breast Imaging,ultrasound artifact,,,
Breast Imaging,mri artifact,,,
Cardiac Imaging,Variant anatomy,,,
Cardiac Imaging,Ischemic Heart Disease,,,
Cardiac Imaging,Inducible myocardial  ischemia,,,
Cardiac Imaging,Acute myocardial infarction,,,
Cardiac Imaging,Chronic myocardial infarction,,,
Cardiac Imaging,Cardiac rupture,ventricular rupture,,
Cardiac Imaging,ventricular pseudoaneurysm,,,
Cardiac Imaging,Left ventricular aneurysm,,,
Cardiac Imaging,Papillary  muscle  rupture,,,
Cardiac Imaging,Congestive  heart  failure,,,
Cardiac Imaging,Dressler syndrome,,,
Cardiac Imaging,Myocardial perfusion,,,
Cardiac Imaging,Myocardial viability,,,
Cardiac Imaging,Stunned  myocardium,,,
Cardiac Imaging,Hibernating  myocardium,,,
Cardiac Imaging,Coronary artery stenosis,,,
Cardiac Imaging,Coronary artery aneurysm,,,
Cardiac Imaging,Cardiomyopathy,,,
Cardiac Imaging,Hypertrophic cardiomyopathy,,,
Cardiac Imaging,Dilated cardiomyopathy,,,
Cardiac Imaging,Restrictive cardiomyopathy,,,
Cardiac Imaging,constrictive pericarditis,,,
Cardiac Imaging,Arrhythmogenic  right ventricular dysplasia,,,
