entry, definition,,
AAA, abdominal aortic aneurysm,,
ABG, arterial blood gas,,
ABI, ankle-brachial index,,
ABO, three basic blood groups,,
ACE, angiotensin-converting enzyme,,
ACLS, advanced cardiac life support,,
ACTH, adrenocorticotropic hormone,,
ADH, antidiuretic hormone,,
ADHD, attention deficit-hyperactivity disorder,,
AF, atrial fibrillation,,
AFB, acid-fast bacillus,,
AFP, alpha-fetoprotein,,
AI,aortic insufficiency,,
AICD, automatic implantable cardiac defibrillator,,
AIDS, acquired immunodeficiency syndrome,,
AK, above the knee,,
ALL, acute lymphocytic leukemia,,
ALP, alkaline phosphatase,,
ALS, amyotrophic lateral sclerosis,,
ALT, alanine aminotransferase,,
AM, morning,,
AMI, acute myocardial infarction,,
AML, acute myelogenous (myeloblastic) leukemia,,
ANA, antinuclear antibody,,
ANNA, anti-neuronal nuclear antibody,,
ANP, atrial natriuretic peptide,,
AP, anterior-posterior,,
ARDS, acute respiratory distress syndrome,,
ARMD, age-related macular degeneration,,
AS,aortic stenosis,,
ASA, acetylsalicylic acid,,
ASD, atrial septal defect,,
AST, aspartate aminotransferase,,
AV, arteriovenous,atrioventricular,
AVM, arteriovenous malformation,,
AVP, arginine vasopressin,,
BAC, blood alcohol concentration,,
BBB, blood-brain barrier,,
BCG, bacille Calmette-Guérin,,
BLS, basic cardiac life support,,
BE, barium enema,,
BHS, beta-hemolytic streptococci,,
BK, below the knee,,
BM, bowel movement,,
BMI, body mass index,,
BMR, basal metabolic rate,,
BMS, bone marrow suppression,,
BMT, bone marrow transplantation,,
BNP, brain natriuretic peptide,,
BP, blood pressure,,
BPH, benign prostatic hyperplasia,,
BRM, biologic response modifier,,
BSA, body surface area,,
BSE, breast self-examination,,
BUN, blood urea nitrogen,,
BW, birth weight; body weight,,
CA, coronary artery,,
CABG, coronary artery bypass graft,,
CAD, coronary artery disease,,
CBC, complete blood count,,
CBI, continuous bladder irrigation,,
CBT, cognitive behavioral therapy,,
CCU,critical care unit,,
CD4, T-helper cells,,
CD8, cytotoxic cells,,
CDC, Centers for Disease Control and Prevention,,
